case_id,packet_present,audit_present,pass1_present,in_official_universe,official_cohort_year,official_dataset_split,annotation_source_year,annotation_dataset_split,identity_mismatch,oracle_buildable,failure_reason,effective_annotation_hash,content_hash
ipo_2020_00368,True,True,True,True,2020,development,2020,development,,True,,66e17d950809c8c7a3b3a074cb24cc6ce22a021e0e25fe32ab8e5e7275714f0c,9516eeff882eb84cd3a2c29ac26c704043f639be86703392792cfe40bb53111f
ipo_2020_00589,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_00873,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_00909,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01147,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01153,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01156,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01163,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01167,True,True,True,True,2020,development,2020,development,,True,,320366450ae61362fa8501f95c37b148830d949fbcf6ba72c3cae8953480aa91,030ec13ad63d1c6fb54502203fbc0830778c508a8f232e19bc68937cbe5c0dc0
ipo_2020_01179,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01209,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01248,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01343,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01351,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01376,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01379,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01408,True,True,True,True,2020,development,2020,development,,True,,d39977544ebbbf0d0aa82869c7e625744621c053e469746fd6da1ff7fe1b9905,f4c1ae0dcf3ebae98ac1176185ea47b4c259fb6e211c22ef2e7560446eb14c39
ipo_2020_01429,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01433,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01440,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_01449,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01455,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01463,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01472,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01477,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01490,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_01502,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01516,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01597,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01643,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_01645,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01650,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01795,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01855,False,False,False,True,2021,development,,,,False,no_reviewed_gold,,
ipo_2020_01859,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01936,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01940,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
ipo_2020_01941,False,False,False,True,2020,development,,,,False,no_reviewed_gold,,
